"sigANOVAPost","sigANOVAGain","sigANCOVA","sdMeasurement","Effect","meanSlope"
0.046,0.064,0.062,0,0,0.999065814473781
0.053,0.047,0.047,0.5,0,0.943236340833249
0.05,0.051,0.055,1,0,0.802992651415869
0.039,0.047,0.045,1.5,0,0.641244659777716
0.052,0.044,0.045,2,0,0.498271604815549
0.034,0.04,0.045,2.5,0,0.382696688162897
0.046,0.045,0.046,3,0,0.318627157522904
0.042,0.041,0.041,3.5,0,0.240621457209884
0.039,0.051,0.041,4,0,0.204648340806783
0.062,0.207,0.209,0,0.2,0.997356450351503
0.075,0.111,0.121,0.5,0.2,0.936468651969958
0.063,0.079,0.071,1,0.2,0.798992528048596
0.061,0.062,0.064,1.5,0.2,0.641769140570852
0.049,0.052,0.049,2,0.2,0.492948853009164
0.052,0.054,0.048,2.5,0.2,0.391451125831388
0.067,0.062,0.06,3,0.2,0.310035027177379
0.055,0.048,0.057,3.5,0.2,0.239272289276375
0.044,0.049,0.044,4,0.2,0.207028347327909
0.091,0.55,0.531,0,0.4,1.00157597921201
0.101,0.278,0.262,0.5,0.4,0.941965599231253
0.076,0.124,0.128,1,0.4,0.795645572975223
0.065,0.085,0.081,1.5,0.4,0.651048965789625
0.075,0.073,0.079,2,0.4,0.498856426096306
0.061,0.069,0.06,2.5,0.4,0.3949244427154
0.072,0.06,0.069,3,0.4,0.304285349719658
0.059,0.065,0.065,3.5,0.4,0.247065968199474
0.051,0.064,0.051,4,0.4,0.203807181664035
0.136,0.801,0.791,0,0.6,1.00287279363796
0.126,0.506,0.499,0.5,0.6,0.942163914310133
0.119,0.231,0.236,1,0.6,0.802734409437888
0.102,0.139,0.135,1.5,0.6,0.636291013142448
0.089,0.106,0.11,2,0.6,0.505256766436488
0.085,0.078,0.09,2.5,0.6,0.397707866192198
0.073,0.057,0.077,3,0.6,0.313115186217191
0.071,0.054,0.073,3.5,0.6,0.25704088229328
0.077,0.063,0.076,4,0.6,0.199271700870751
0.216,0.93,0.918,0,0.8,0.999423816693896
0.222,0.696,0.697,0.5,0.8,0.937170897356139
0.171,0.326,0.349,1,0.8,0.799950701709059
0.144,0.194,0.208,1.5,0.8,0.638780058594208
0.116,0.116,0.133,2,0.8,0.493691050474714
0.114,0.104,0.118,2.5,0.8,0.380740997506955
0.107,0.08,0.106,3,0.8,0.305898727555787
0.091,0.08,0.094,3.5,0.8,0.245873763074898
0.094,0.077,0.097,4,0.8,0.199685309595478
0.306,0.975,0.97,0,1,0.998731177085228
0.29,0.811,0.806,0.5,1,0.9419194569015
0.266,0.468,0.489,1,1,0.801091594954042
0.223,0.27,0.328,1.5,1,0.632917311093147
0.185,0.171,0.217,2,1,0.491340768961249
0.157,0.126,0.163,2.5,1,0.392491989354255
0.14,0.115,0.143,3,1,0.305202679458891
0.131,0.101,0.135,3.5,1,0.25042089735214
0.089,0.085,0.089,4,1,0.202295704226146
0.369,0.993,0.987,0,1.2,1.00212922555713
0.399,0.893,0.896,0.5,1.2,0.943311016685107
0.336,0.605,0.623,1,1.2,0.802452598060646
0.311,0.378,0.418,1.5,1.2,0.636922352068653
0.233,0.228,0.281,2,1.2,0.49349003128474
0.202,0.188,0.243,2.5,1.2,0.392305387406132
0.182,0.153,0.18,3,1.2,0.31194277475351
0.158,0.139,0.166,3.5,1.2,0.24609010690083
0.122,0.085,0.114,4,1.2,0.199628804204878
0.485,0.994,0.993,0,1.4,1.00100012543384
0.462,0.964,0.962,0.5,1.4,0.937976167204045
0.439,0.712,0.722,1,1.4,0.804194024548552
0.375,0.493,0.543,1.5,1.4,0.644789030505138
0.309,0.301,0.378,2,1.4,0.5100211347908
0.253,0.225,0.281,2.5,1.4,0.386975827782014
0.213,0.165,0.222,3,1.4,0.310122340734321
0.207,0.137,0.205,3.5,1.4,0.242563460709632
0.146,0.145,0.159,4,1.4,0.208753549624589
0.599,1,1,0,1.6,0.999109910464208
0.579,0.978,0.978,0.5,1.6,0.939283743864992
0.515,0.808,0.832,1,1.6,0.788883326548591
0.438,0.575,0.618,1.5,1.6,0.640392741860255
0.392,0.378,0.477,2,1.6,0.503179467582801
0.291,0.248,0.334,2.5,1.6,0.38836053927809
0.254,0.222,0.271,3,1.6,0.310926646707823
0.231,0.201,0.236,3.5,1.6,0.251180832029039
0.191,0.143,0.198,4,1.6,0.201255705537235
