Speaker,Trial,Word,F1,F2
S1,1,tiet ,262.774304368,1633.8818330516
S1,2,piet,259.8397542767,2013.8747915422
S1,3,taat,1031.0619308417,1550.7951593488
S1,4,baat,923.1698046104,1440.3961788698
S1,5,paat,960.9496241824,1475.7224607825
S1,6,biet,230.8226704746,2505.888684637
S1,7,diet,232.594928708,2179.8826631039
S1,8,buut,251,626
S1,9,daat,957.8194693207,1588.108612456
S1,10,puut,368.8043087431,877.2596695797
S1,11,duut,311.1484398281,1015.6787772775
S1,12,tuut,338.2751722212,944.1241311451
S1,13,duut,333.7628632227,867.028727869
S1,14,tiet,250.5781234463,2464.3203962589
S1,15,diet,237.6879425164,2615.2653918191
S1,16,puut,292.1037561184,622.5747904803
S1,17,piet,253.807524557,1820.0406196203
S1,18,buut,261,622
S1,19,tuut,371.6971837849,942.5963786665
S1,20,biet,237.7924783957,1836.9006460421
S1,21,paat,950.0237380657,1362.7763944634
S1,22,taat,1003.7755086653,1538.7535259411
S1,23,daat,959.5613516565,1535.6736226839
S1,24,baat,980.6368306847,1501.2884357638
S2,1,duut,316.6576108851,823.062824058
S2,2,diet,346.8151118066,2736.6315785029
S2 ,3,daat,934.9221387087,1648.6447149486
S2,4,paat,945.9841473396,1635.641344967
S2,5,biet,381.0013343249,2684.4700986217
S2,6,tuut,350.1021849212,818.7960639138
S2,7,baat,919.4740989335,1557.8091319414
S2,8,piet,382.1929834555,2686.5747720943
S2,9,buut,360.9108697661,810.4658190932
S2,10,tiet,363.2835813374,2710.3387006566
S2,11,puut,361.8163515181,832.9254597401
S2,12,taat,869.8109879635,1616.1794885937
S2,13,biet,382.7997348817,2762.8462354935
S2,14,tuut,433.3918744487,814.5631687968
S2,15,baat,850.9687791157,1619.1908226829
S2,16,duut,334.3229763609,826.075067637
S2,17,tiet,355.7251566523,2755.3599663229
S2,18,piet,350.2597833912,2773.7362517591
S2,19,taat,893.8212022671,1620.9352365416
S2,20,daat,855.5095043387,1624.8893632226
S2,21,buut,381.0224460355,807.5093671369
S2,22,diet,352.5128223537,2725.3508766225
S2,23,puut,365.2777261224,831.5701703187
S2,24,paat,890.9847033985,1603.9200270886
S3,1,puut,280.6869069455,797.4436150067
S3,2,diet,273.7073579256,2451.6135411886
S3,3,baat,856.6931874767,1591.2472484228
S3,4,paat,830.9998254036,1336.2436311403
S3,5,taat,833.4802315867,1181.6159517413
S3,6,tuut,284.8492065488,943.7851986257
S3,7,daat,857.0866498365,1670.3723499144
S3,8,buut,288.0574999839,842.0057325252
S3,9,tiet,283.2920096587,2360.941788404
S3,10,duut,275.0514524393,1090.7885283584
S3,11,piet,257.4143334591,2335.5781455078
S3,12,biet,274.002440746,2337.0801642474
S3,13,puut,312.9397952818,845.7227501157
S3,14,duut,275.0756543458,899.8089681626
S3,15,taat,836.5528676408,1620.6781739064
S3,16,piet,306.3148396275,2347.33912873
S3,17,tiet,272.597373563,2429.6479920389
S3,18,tuut,279.0689057348,955.2599375416
S3,19,buut,289.9479922367,899.198148855
S3,20,biet,266.9604718798,2327.8958786332
S3,21,baat,822.5955350004,1581.7337776508
S3,22,daat,782.9760594111,1608.5911598857
S3,23,diet,276.9285953182,2287.3771643827
S3,24,paat,824.9352903495,1627.302879684
S4,1,puut,406.3794061198,704.8141568443
S4,2,baat,689.9784698969,1123.811493743
S4,3,tuut,317.2173534803,1003.9916419808
S4,4,tiet,298.6359497238,2385.8743421337
S4,5,piet,290.4863297057,2377.5532627539
S4,6,duut,196.9617087836,639.4565074155
S4,7,diet,318.6910930049,2424.2501238756
S4,8,biet,299.2357006762,2456.2892689962
S4,9,buut,243.4774355519,657.8968161909
S4,10,paat,690.1463891915,1130.7572364331
S4,11,daat,682.8165607524,1198.3923719475
S4,12,taat,703.4011105391,1195.3281470724
S4,13,taat,746.0183492445,1216.0044118204
S4,14,daat,747.0705358413,1276.6019473084
S4,15,paat,768.6275493677,1302.8052692894
S4,16,duut,442.5361458257,880.8678474225
S4,17,piet,272.5309581519,2303.2892822646
S4,18,buut,295.8937271274,676.2146592502
S4,19,puut,286.6586827902,581.9111282867
S4,20,diet,271.181217648,2346.673012536
S4,21,biet,264.2970093781,2160.252955241
S4,22,tuut,265,637
S4,23,baat,678.7598943543,1146.1606931821
S4,24,tiet,288.4347459204,2399.7672548427
