Stimulus,Status,Duration,Swedish,German,English,French,LevGer,LevEng,LevFre,FreqGerman,FreqEnglish,FreqFrench
ga,target,516,go,ge@n,gou,NA,0.75,0.3333333333,1,1440.25,3793.04,0
agg,target,547,Eg,ai,Eg,NA,1,0,1,24.06,26.04,0
grupp,target,575,gryp,grup@,grup,grup,0.4,0.25,0.25,52.48,73.76,91.11
lang,target,585,loN,laN,loN,lon,0.3333333333,0,0.3333333333,241.54,675.16,101.06
tanka,target,636,tENka,dENk@n,TiNk,NA,0.5,0.6,1,299.34,2691.39,0
borja,profile,644,b2rja,NA,NA,NA,1,1,1,0,0,0
skarm,target,672,çErm,Sirm,NA,NA,0.75,1,1,10.87,0,0
branna,target,694,brEna,brEn@n,b2rn,NA,0.3333333333,0.6,1,15.35,55.22,0
ata,target,701,Eta,Es@n,it,NA,0.75,0.6666666667,1,438.36,251.88,0
ost,target,702,2st,ost,ist,est,0.3333333333,0.3333333333,0.3333333333,26.77,49.55,22823.25
vaxla,target,703,vEksla,vEks@ln,NA,NA,0.2857142857,1,1,25.87,0,0
is,target,706,is,ais,ais,NA,0.3333333333,0.3333333333,1,46.69,79.55,0
larm,target,707,larm,lErm,@larm,alarm,0.25,0.2,0.2,44.18,29.84,17.09
bliva,target,714,bliva,blaib@n,NA,NA,0.5714285714,1,1,439.11,0,0
blomma,target,714,bluma,blum@,blum,NA,0.2,0.2,1,17.68,5.51,0
alska,profile,764,Elska,NA,NA,NA,1,1,1,0,0,0
sverige,profile,770,sfarj@,NA,NA,NA,1,1,1,0,0,0
paraply,target,773,paraply,NA,NA,paraplwi,1,1,0.25,0,0,6.37
elev,target,809,elev,NA,NA,elEv,1,1,0.25,0,0,50.73
forst,target,830,f2St,NA,f2rst,NA,1,0.4,1,0,840.57,0
forsvinna,target,830,f@Sfina,f@rSfind@n,NA,NA,0.4,1,1,122.64,0,0
hemlig,target,835,hEmlig,haimliç,NA,NA,0.5714285714,1,1,14.17,0,0
konst,target,841,konst,kunst,NA,NA,0.2,1,1,28.03,0,0
smart,target,857,smat,smart,smart,NA,0.2,0.2,1,2.64,96.25,0
kagel,target,866,SEg@l,keg@l,NA,NA,0.4,1,1,0.91,0,0
flicka,profile,873,flika,NA,NA,NA,1,1,1,0,0,0
ursprung,target,877,ySpryN,urSpruN,NA,NA,0.4285714286,1,1,6.93,0,0
ensam,target,878,Ensam,ainzam,NA,NA,0.5,1,1,33.62,0,0
fraga,target,879,froga,frag@,NA,NA,0.4,1,1,644.86,0,0
skriva,target,885,skriva,Sraib@n,NA,NA,0.8571428571,1,1,103.27,0,0
trakig,profile,885,trokig,NA,NA,NA,1,1,1,0,0,0
butelj,target,898,bytElj,NA,bot@l,butEj,1,0.5,0.3333333333,0,50.75,42.31
korruption,target,906,korypSun,koruptsjon,k@rypS@n,korypsjon,0.5,0.25,0.3333333333,3.43,4.27,6.54
overraska,target,908,2v@raska,yb@raS@n,NA,NA,0.625,1,1,13.39,0,0
passiv,target,908,pasiv,pasif,pasiv,pasif,0.2,0,0.2,0.94,2.18,2.52
ingenjor,target,921,inç@nj2r,inZenj2r,EndZinir,EnZenj2r,0.375,0.75,0.5,6.81,11.69,18.92
fonster,target,923,f2nst@r,fEnst@r,NA,f@nEtr,0.1428571429,1,0.4285714286,84.18,0,70.2
intryck,target,932,intryk,aindruk,NA,NA,0.4285714286,1,1,24.92,0,0
smink,target,948,smiNk,SmiNk@,NA,NA,0.3333333333,1,1,2.13,0,0
fotboll,target,949,futbol,fusbal,futbol,futbol,0.3333333333,0,0,16.85,37.53,13.93
forsoka,target,955,f@S2ka,f@rzuç@n,NA,NA,0.875,1,1,216.82,0,0
tydlig,target,970,tydlig,doytliç,NA,NA,0.7142857143,1,1,25.04,0,0
potatis,target,980,putatis,NA,p@teitou,patat,1,0.625,0.4285714286,0,11.29,4.59
frasch,target,987,frES,friS,frES,frE,0.25,0,0.25,27.25,54.51,53.9
choklad,target,1000,çuklad,Sokolad@,tSokl@t,Sokola,0.625,0.7142857143,0.8333333333,20.28,29.39,29.61
nackdel,target,1011,nakdel,naçtail,NA,NA,0.7142857143,1,1,3.11,0,0
markvardig,target,1122,mErkvEdig,mErkvyrdig,NA,NA,0.2,1,1,36.62,0,0
sjalvstandig,target,1130,çElfstEndig,sElbstStEndig,NA,NA,0.3846153846,1,1,2.17,0,0
egenskap,target,1191,eg@nskap,aig@nSaft,NA,NA,0.6666666667,1,1,2.87,0,0
karnkraftverk,target,1264,SEnkraftvErk,kErnkraftvErk,NA,NA,0.1538461538,1,1,0.67,0,0
alltid,target,NA,alltid,allzeit,NA,NA,0.4285714286,1,1,1.61,0,0
avskaffa,target,NA,avskaffa,abschaffen,NA,NA,0.5,1,1,0.67,0,0
bäbis,target,NA,babis,baby,baby,bebe,0.4,0.4,0.6,324.66,509.37,173.82
bakgrund,target,NA,bakgrund,NA,background,NA,1,0.2,1,0,17.63,0
barn,profile,NA,barn,NA,NA,NA,1,1,1,0,0,0
behärska,target,NA,beharska,beherrschen,NA,NA,0.5454545455,1,1,12.64,0,0
borgmästare,target,NA,borgmastare,burgermeister,NA,NA,0.5384615385,1,1,38.78,0,0
byrå,target,NA,byra,buro,bureau,bureau,0.5,0.5,0.5,128.82,11.14,156.68
cyckel,target,NA,cyckel,zyklus,cycle,cycle,0.8333333333,0.3333333333,0.3333333333,1.93,5.88,5.69
fåtölj,target,NA,fatolj,fauteuil,fauteuil,fauteuil,0.625,0.625,0.625,0,0,17.16
fiende,target,NA,fiende,feind,NA,NA,0.5,1,1,56.26,0,0
försiktig,target,NA,forsiktig,vorsichtig,NA,NA,0.3,1,1,105.99,0,0
förutsättning,target,NA,forutsattning,voraussetzung,NA,NA,0.5384615385,1,1,1.65,0,0
full,target,NA,full,voll,full,NA,0.5,0,1,137.13,166.9,0
hård,target,NA,hard,hart,hard,NA,0.25,0,1,112.92,307.84,0
häst,profile,NA,hast,NA,NA,NA,1,1,1,0,0,0
kanel,target,NA,kanel,NA,NA,cannelle,1,1,0.5,0,0,1.43
kejsar,target,NA,kejsar,kaiser,NA,NA,0.5,1,1,21.54,0,0
kniv,target,NA,kniv,NA,knife,NA,1,0.4,1,0,46.8,0
kung,target,NA,kung,konig,king,NA,0.4,0.25,1,111.46,129.25,0
kyrka,target,NA,kyrka,kirche,church,NA,0.6666666667,0.8333333333,1,53.07,69.67,0
kyssa,target,NA,kyssa,kussen,kiss,NA,0.5,0.4,1,44.06,121.16,0
leka,profile,NA,leka,NA,NA,NA,1,1,1,0,0,0
löpa,target,NA,lopa,laufen,NA,NA,0.8333333333,1,1,136.97,0,0
mjölk,target,NA,mjolk,milch,milk,NA,0.8,0.4,1,33.11,42.53,0
möjlig,target,NA,mojlig,moglich,NA,NA,0.4285714286,1,1,156.26,0,0
mycket,profile,NA,mycket,NA,NA,NA,1,1,1,0,0,0
öppna,target,NA,oppna,offnen,open,NA,0.6666666667,0.4,1,71.77,320.41,0
översätta,target,NA,oversatta,ubersetzen,NA,NA,0.6,1,1,7.05,0,0
rådhus,target,NA,radhus,rathaus,NA,NA,0.2857142857,1,1,6.85,0,0
rytmisk,target,NA,rytmisk,rhythmisch,rhythmic,rythmique,0.4,0.5,0.4444444444,0.2,1.02,0.46
saliv,target,NA,saliv,NA,saliva,salive,1,0.1666666667,0.1666666667,0,2.65,5.08
sitta,target,NA,sitta,sitzen,sit,NA,0.5,0.4,1,114.3,311.35,0
skola,target,NA,skola,schule,school,NA,0.6666666667,0.6666666667,1,196.35,333.12,0
skön,target,NA,skon,schon,NA,NA,0.4,1,1,3460.09,0,0
skrubba,target,NA,skrubba,schrubben,scrub,NA,0.4444444444,0.4285714286,1,2.36,6.24,0
skyskrapa,target,NA,skyskrapa,NA,skyscraper,NA,1,0.3,1,0,0.78,0
söka,target,NA,soka,suchen,seek,NA,0.8333333333,0.75,1,206.35,18.31,0
spegel,target,NA,spegel,spiegel,NA,NA,0.1428571429,1,1,26.73,0,0
språk,target,NA,sprak,sprache,NA,NA,0.4285714286,1,1,37.8,0,0
städa,profile,NA,stada,NA,NA,NA,1,1,1,0,0,0
stjärn,target,NA,stjarn,stern,star,NA,0.3333333333,0.3333333333,1,21.3,81.35,0
tårta,target,NA,tarta,torte,tart,tarte,0.4,0.2,0.2,8.78,2.39,11.52
torsdag,target,NA,torsdag,donnerstag,thursday,NA,0.5,0.375,1,19.76,24.16,0
tunga,target,NA,tunga,zunge,tongue,NA,0.4,0.5,1,30.71,31.16,0
tvivla,target,NA,tvivla,zweifeln,NA,NA,0.75,1,1,5.59,0,0
värld,target,NA,varld,welt,world,NA,0.8,0.4,1,475.06,455.22,0
varm,target,NA,varm,warm,warm,NA,0.25,0.25,1,34.81,52.14,0
viktig,target,NA,viktig,wichtig,NA,NA,0.4285714286,1,1,175.72,0,0
ytterst,target,NA,ytterst,ausserst,NA,NA,0.5,1,1,23.19,0,0
